"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_01_HOU_IND",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",2,"15-K.Fairbairn kicks 67 yards from HOU 35 to IND -2. 6-A.Gould to IND 27 for 29 yards (13-D.Phillips; 21-C.Bullock).",1,"15:00",NA,0,35,"kickoff",0,"IND","HOU",0,0.546261787414551,0.453738212585449,0,0,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",3,"(14:54) (Shotgun) 28-J.Taylor left guard to IND 32 for 5 yards (0-A.Al-Shaair; 91-F.Fatukasi).",1,"14:54",1,10,73,"run",5,"IND","HOU",0,0.546261787414551,0.453738212585449,0,-0.000593602657318115,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",4,"(14:15) (Shotgun) 5-A.Richardson pass short right to 11-M.Pittman to IND 45 for 13 yards (5-J.Pitre).",1,"14:15",2,5,68,"pass",13,"IND","HOU",0,0.545668184757233,0.454331815242767,-0.000593602657318115,0.0343082547187805,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",5,"(13:47) (No Huddle, Shotgun) 28-J.Taylor right end to IND 43 for -2 yards (51-W.Anderson).",1,"13:47",1,10,55,"run",-2,"IND","HOU",0,0.579976439476013,0.420023560523987,0.0343082547187805,-0.0260152220726013,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",6,"(13:08) (Shotgun) 5-A.Richardson pass short right to 11-M.Pittman to IND 49 for 6 yards (39-H.To'oTo'o).",1,"13:08",2,12,57,"pass",6,"IND","HOU",0,0.553961217403412,0.446038782596588,-0.0260152220726013,-0.00923264026641846,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",7,"(12:26) (Shotgun) 28-J.Taylor up the middle to HOU 46 for 5 yards (5-J.Pitre, 95-D.Barnett).",1,"12:26",3,6,51,"run",5,"IND","HOU",0,0.544728577136993,0.455271422863007,-0.00923264026641846,-0.0356101393699646,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",8,"(11:44) (Shotgun) 5-A.Richardson pass incomplete short right to 10-A.Mitchell.",1,"11:44",4,1,46,"pass",0,"IND","HOU",0,0.509118437767029,0.490881562232971,-0.0356101393699646,-0.0391114354133606,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",9,"(11:40) (Shotgun) 7-C.Stroud pass incomplete short left to 3-T.Dell.",1,"11:40",1,10,53,"pass",0,"HOU","IND",0,0.470007002353668,0.529992997646332,-0.0391114354133606,-0.01564621925354,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",10,"(11:37) 28-J.Mixon right guard to HOU 48 for 1 yard (99-D.Buckner).",1,"11:37",2,10,53,"run",1,"HOU","IND",0,0.485653221607208,0.514346778392792,0.01564621925354,-0.0159979462623596,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",11,"(10:51) (Shotgun) PENALTY on HOU-78-L.Tunsil, False Start, 5 yards, enforced at HOU 48 - No Play.",1,"10:51",3,9,52,"no_play",0,"HOU","IND",0,0.501651167869568,0.498348832130432,0.0159979462623596,-0.0228127241134644,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",12,"(10:30) (Shotgun) 7-C.Stroud scrambles up the middle to IND 44 for 13 yards (45-E.Speed).",1,"10:30",3,14,57,"run",13,"HOU","IND",0,0.524463891983032,0.475536108016968,0.0228127241134644,0.0114456713199615,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",13,"(9:38) 7-C.Stroud pass short middle to 9-B.Jordan to IND 41 for 3 yards (32-J.Blackmon, 44-Z.Franklin).",1,"09:38",4,1,44,"pass",3,"HOU","IND",0,0.513018220663071,0.486981779336929,-0.0114456713199615,0.0811456143856049,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",14,"(8:57) 7-C.Stroud sacked at IND 49 for -8 yards (94-T.Lewis).",1,"08:57",1,10,41,"pass",-8,"HOU","IND",0,0.431872606277466,0.568127393722534,-0.0811456143856049,-0.0411326289176941,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",15,"(8:15) (Shotgun) 7-C.Stroud pass short left to 28-J.Mixon to IND 42 for 7 yards (23-K.Moore).",1,"08:15",2,18,49,"pass",7,"HOU","IND",0,0.47300523519516,0.52699476480484,0.0411326289176941,-0.0284688472747803,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",16,"(7:31) (Shotgun) 7-C.Stroud pass short right to 1-S.Diggs to IND 32 for 10 yards (32-J.Blackmon).",1,"07:31",3,11,42,"pass",10,"HOU","IND",0,0.50147408246994,0.49852591753006,0.0284688472747803,0.0357931852340698,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",17,"(6:48) 15-K.Fairbairn 51 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",1,"06:48",4,1,32,"field_goal",0,"HOU","IND",0,0.46568089723587,0.53431910276413,-0.0357931852340698,0.0272669196128845,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",18,"15-K.Fairbairn kicks 60 yards from HOU 35 to IND 5. 6-A.Gould to IND 27 for 22 yards (44-B.Brooks).",1,"06:44",NA,0,35,"kickoff",0,"IND","HOU",-3,0.438413977622986,0.561586022377014,-0.0272669196128845,0,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",19,"(6:39) (Shotgun) 5-A.Richardson up the middle to IND 35 for 8 yards (94-K.Davis).",1,"06:39",1,10,73,"run",8,"IND","HOU",-3,0.438413977622986,0.561586022377014,0,0.0283735990524292,"IND","HOU",1,"2024-09-08","REG",3,3
"2024_01_HOU_IND",20,"(6:01) (Shotgun) 28-J.Taylor left end to IND 40 for 5 yards (94-K.Davis; 4-K.Lassiter).",1,"06:01",2,2,65,"run",5,"IND","HOU",-3,0.466787576675415,0.533212423324585,0.0283735990524292,-0.00193473696708679,"IND","HOU",1,"2024-09-08","REG",3,3
