"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_02_CHI_HOU",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",2,"8-C.Santos kicks 66 yards from CHI 35 to HOU -1. 2-R.Woods to HOU 29 for 30 yards (94-A.Booker).",1,"15:00",NA,0,35,"kickoff",0,"HOU","CHI",0,0.546261787414551,0.453738212585449,0,0.00683951377868652,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",3,"(14:54) 7-C.Stroud pass incomplete deep right to 12-N.Collins (57-J.Sanborn).",1,"14:54",1,10,71,"pass",0,"HOU","CHI",0,0.553101301193237,0.446898698806763,0.00683951377868652,-0.0181910395622253,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",4,"(14:48) (Shotgun) 7-C.Stroud pass short left to 9-B.Jordan to HOU 33 for 4 yards (9-J.Brisker).",1,"14:48",2,10,71,"pass",4,"HOU","CHI",0,0.534910261631012,0.465089738368988,-0.0181910395622253,-0.00228232145309448,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",5,"(14:07) (Shotgun) 7-C.Stroud pass short middle to 28-J.Mixon to HOU 41 for 8 yards (53-T.Edwards).",1,"14:07",3,6,67,"pass",8,"HOU","CHI",0,0.532627940177917,0.467372059822083,-0.00228232145309448,0.0399454236030579,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",6,"(13:26) 28-J.Mixon left end to CHI 43 for 16 yards (31-K.Byard).",1,"13:26",1,10,59,"run",16,"HOU","CHI",0,0.572573363780975,0.427426636219025,0.0399454236030579,0.0118733048439026,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",7,"(12:41) 22-C.Akers right tackle to CHI 43 for no gain (49-T.Edmunds).",1,"12:41",1,10,43,"run",0,"HOU","CHI",0,0.584446668624878,0.415553331375122,0.0118733048439026,-0.0179151296615601,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",8,"(11:56) PENALTY on HOU-76-Ky.Green, False Start, 5 yards, enforced at CHI 43 - No Play.",1,"11:56",2,10,43,"no_play",0,"HOU","CHI",0,0.566531538963318,0.433468461036682,-0.0179151296615601,-0.00803405046463013,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",9,"(11:47) (Shotgun) 7-C.Stroud pass short middle to 22-C.Akers to CHI 45 for 3 yards (49-T.Edmunds).",1,"11:47",2,15,48,"pass",3,"HOU","CHI",0,0.558497488498688,0.441502511501312,-0.00803405046463013,-0.0357917547225952,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",10,"(11:08) (Shotgun) 7-C.Stroud pass short middle to 33-D.Ogunbowale to CHI 38 for 7 yards (49-T.Edmunds, 31-K.Byard).",1,"11:08",3,12,45,"pass",7,"HOU","CHI",0,0.522705733776093,0.477294266223907,-0.0357917547225952,0.0201067328453064,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",11,"(10:25) 15-K.Fairbairn 56 yard field goal is GOOD, Center-46-J.Weeks, Holder-6-T.Townsend.",1,"10:25",4,5,38,"field_goal",0,"HOU","CHI",0,0.542812466621399,0.457187533378601,0.0201067328453064,0.050819456577301,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",12,"15-K.Fairbairn kicks 66 yards from HOU 35 to CHI -1. 11-D.Carter to CHI 23 for 24 yards (43-N.Hewitt; 35-J.Hansen).",1,"10:20",NA,0,35,"kickoff",0,"CHI","HOU",-3,0.5936319231987,0.4063680768013,0.050819456577301,0.0006885826587677,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",13,"(10:15) (Shotgun) 18-C.Williams pass short left to 14-G.Everett pushed ob at CHI 25 for 2 yards (5-J.Pitre).",1,"10:15",1,10,77,"pass",2,"CHI","HOU",-3,0.592943340539932,0.407056659460068,-0.0006885826587677,-0.0146858096122742,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",14,"(9:52) (No Huddle, Shotgun) 4-D.Swift left tackle to CHI 21 for -4 yards (55-D.Hunter, 91-F.Fatukasi).",1,"09:52",2,8,75,"run",-4,"CHI","HOU",-3,0.607629150152206,0.392370849847794,0.0146858096122742,-0.0351603627204895,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",15,"(9:08) (Shotgun) 18-C.Williams pass short right to 11-D.Carter ran ob at CHI 35 for 14 yards.",1,"09:08",3,12,79,"pass",14,"CHI","HOU",-3,0.642789512872696,0.357210487127304,0.0351603627204895,0.0723835825920105,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",16,"(8:44) (No Huddle, Shotgun) 18-C.Williams pass short left to 11-D.Carter pushed ob at CHI 47 for 12 yards (5-J.Pitre).",1,"08:44",1,10,65,"pass",12,"CHI","HOU",-3,0.570405930280685,0.429594069719315,-0.0723835825920105,0.0136591494083405,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",17,"(8:09) 4-D.Swift up the middle to CHI 47 for no gain (39-H.To'oTo'o).",1,"08:09",1,10,53,"run",0,"CHI","HOU",-3,0.556746780872345,0.443253219127655,-0.0136591494083405,-0.0146597623825073,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",18,"(7:31) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to HOU 45 for 8 yards (39-H.To'oTo'o).",1,"07:31",2,10,53,"pass",8,"CHI","HOU",-3,0.571406543254852,0.428593456745148,0.0146597623825073,0.0169715583324432,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",19,"(6:47) (Shotgun) 18-C.Williams pass short left to 2-D.Moore to HOU 26 for 19 yards (0-A.Al-Shaair; 21-C.Bullock).",1,"06:47",3,2,45,"pass",19,"CHI","HOU",-3,0.554434984922409,0.445565015077591,-0.0169715583324432,0.0953189432621002,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",20,"(6:03) 4-D.Swift left tackle to HOU 24 for 2 yards (0-A.Al-Shaair).",1,"06:03",1,10,26,"run",2,"CHI","HOU",-3,0.459116041660309,0.540883958339691,-0.0953189432621002,-0.0126192569732666,"HOU","CHI",2,"2024-09-15","REG",3,3
"2024_02_CHI_HOU",21,"(5:23) (Shotgun) 4-D.Swift up the middle to HOU 25 for -1 yards (0-A.Al-Shaair, 39-H.To'oTo'o).",1,"05:23",2,8,24,"run",-1,"CHI","HOU",-3,0.471735298633575,0.528264701366425,0.0126192569732666,-0.0263637900352478,"HOU","CHI",2,"2024-09-15","REG",3,3
