"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_03_BAL_DAL",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",2,"9-J.Tucker kicks 65 yards from BAL 35 to DAL 0. 30-J.Thomas pushed ob at DAL 34 for 34 yards (40-M.Harrison). PENALTY on DAL-9-K.Turpin, Offensive Holding, 10 yards, enforced at DAL 25.",1,"15:00",NA,0,35,"kickoff",0,"DAL","BAL",0,0.546261787414551,0.453738212585449,0,-0.00988411903381348,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",3,"(14:54) (Shotgun) 4-D.Prescott pass short right to 23-R.Dowdle to DAL 16 for 1 yard (23-T.Simpson).",1,"14:54",1,10,85,"pass",1,"DAL","BAL",0,0.536377668380737,0.463622331619263,-0.00988411903381348,-0.0124556422233582,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",4,"(14:18) 4-D.Prescott pass incomplete short right to 3-B.Cooks. PENALTY on BAL-99-O.Oweh, Defensive Holding, 5 yards, enforced at DAL 16 - No Play.",1,"14:18",2,9,84,"no_play",0,"DAL","BAL",0,0.523922026157379,0.476077973842621,-0.0124556422233582,0.0179312825202942,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",5,"(14:12) 23-R.Dowdle left guard to DAL 24 for 3 yards (98-T.Jones).",1,"14:12",1,10,79,"run",3,"DAL","BAL",0,0.541853308677673,0.458146691322327,0.0179312825202942,-0.00910401344299316,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",6,"(13:35) 23-R.Dowdle up the middle to DAL 30 for 6 yards (0-R.Smith).",1,"13:35",2,7,76,"run",6,"DAL","BAL",0,0.53274929523468,0.46725070476532,-0.00910401344299316,0.00927221775054932,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",7,"(13:08) (No Huddle) PENALTY on DAL-89-B.Spann-Ford, False Start, 4 yards, enforced at DAL 30 - No Play.",1,"13:08",3,1,70,"no_play",0,"DAL","BAL",0,0.54202151298523,0.45797848701477,0.00927221775054932,-0.0297396779060364,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",8,"(12:59) (Shotgun) 4-D.Prescott pass short right to 3-B.Cooks to DAL 33 for 7 yards (14-K.Hamilton).",1,"12:59",3,5,74,"pass",7,"DAL","BAL",0,0.512281835079193,0.487718164920807,-0.0297396779060364,0.0541083812713623,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",9,"(12:29) (Shotgun) 4-D.Prescott pass incomplete short middle to 23-R.Dowdle [58-M.Pierce].",1,"12:29",1,10,67,"pass",0,"DAL","BAL",0,0.566390216350555,0.433609783649445,0.0541083812713623,-0.0180919170379639,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",10,"(12:24) (Shotgun) 4-D.Prescott pass incomplete short right to 83-J.Brooks [14-K.Hamilton].",1,"12:24",2,10,67,"pass",0,"DAL","BAL",0,0.548298299312592,0.451701700687408,-0.0180919170379639,-0.0295979380607605,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",11,"(12:18) (Shotgun) PENALTY on DAL-87-J.Ferguson, False Start, 5 yards, enforced at DAL 33 - No Play.",1,"12:18",3,10,67,"no_play",0,"DAL","BAL",0,0.518700361251831,0.481299638748169,-0.0295979380607605,-0.0216353237628937,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",12,"(12:18) (Shotgun) 4-D.Prescott pass incomplete short right to 3-B.Cooks (44-M.Humphrey).",1,"12:18",3,15,72,"pass",0,"DAL","BAL",0,0.497065037488937,0.502934962511063,-0.0216353237628937,-0.0366044640541077,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",13,"(12:13) 5-B.Anger punts 56 yards to BAL 16, Center-44-T.Sieg. 3-D.Harty to BAL 29 for 13 yards (30-J.Thomas).",1,"12:13",4,15,72,"punt",0,"DAL","BAL",0,0.46046057343483,0.53953942656517,-0.0366044640541077,0.0437193214893341,"DAL","BAL",3,"2024-09-22","REG",3,3
"2024_03_BAL_DAL",14,"(12:03) (Shotgun) 8-L.Jackson left end pushed ob at BAL 41 for 12 yards (28-M.Hooker).",1,"12:03",1,10,71,"run",12,"BAL","DAL",0,0.504179894924164,0.495820105075836,0.0437193214893341,0.026614248752594,"DAL","BAL",3,"2024-09-22","REG",3,3
