"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_03_MIA_SEA",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"SEA","MIA",3,"2024-09-22","REG",3,3
"2024_03_MIA_SEA",2,"7-J.Sanders kicks 69 yards from MIA 35 to SEA -4. 33-D.Williams to SEA 35 for 39 yards (36-S.Duck).",1,"15:00",NA,0,35,"kickoff",0,"SEA","MIA",0,0.546261787414551,0.453738212585449,0,0.0201284289360046,"SEA","MIA",3,"2024-09-22","REG",3,3
"2024_03_MIA_SEA",3,"(14:53) (Shotgun) 26-Z.Charbonnet left guard to SEA 39 for 4 yards (92-Z.Sieler; 93-C.Campbell).",1,"14:53",1,10,65,"run",4,"SEA","MIA",0,0.566390216350555,0.433609783649445,0.0201284289360046,-0.00665563344955444,"SEA","MIA",3,"2024-09-22","REG",3,3
"2024_03_MIA_SEA",4,"(14:20) 7-G.Smith pass short right to 88-A.Barner pushed ob at SEA 45 for 6 yards (20-J.Brooks).",1,"14:20",2,6,61,"pass",6,"SEA","MIA",0,0.559734582901001,0.440265417098999,-0.00665563344955444,0.0202418565750122,"SEA","MIA",3,"2024-09-22","REG",3,3
"2024_03_MIA_SEA",5,"(13:44) (Shotgun) 7-G.Smith pass deep middle to 16-T.Lockett to MIA 37 for 18 yards (21-J.Poyer).",1,"13:44",1,10,55,"pass",18,"SEA","MIA",0,0.579976439476013,0.420023560523987,0.0202418565750122,0.0453374981880188,"SEA","MIA",3,"2024-09-22","REG",3,3
"2024_03_MIA_SEA",6,"Timeout #1 by SEA at 12:56.",1,"12:56",NA,0,NA,"no_play",0,NA,NA,NA,0.625313937664032,0.374686062335968,0.0453374981880188,0,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",7,"(12:56) 26-Z.Charbonnet up the middle to MIA 37 for no gain (90-D.Hand).",1,"12:56",1,10,37,"run",0,"SEA","MIA",0,0.625313937664032,0.374686062335968,0,-0.0146909356117249,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",8,"(12:17) (Shotgun) 7-G.Smith sacked at MIA 42 for -5 yards (90-D.Hand).",1,"12:17",2,10,37,"pass",-5,"SEA","MIA",0,0.610623002052307,0.389376997947693,-0.0146909356117249,-0.0954704880714417,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",9,"(11:36) (Shotgun) 7-G.Smith pass short left to 26-Z.Charbonnet to MIA 37 for 5 yards (29-K.Fuller).",1,"11:36",3,15,42,"pass",5,"SEA","MIA",0,0.515152513980865,0.484847486019135,-0.0954704880714417,0.0200421214103699,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",10,"(10:54) 5-J.Myers 56 yard field goal is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",1,"10:54",4,10,37,"field_goal",0,"SEA","MIA",0,0.535194635391235,0.464805364608765,0.0200421214103699,0.0584372878074646,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",11,"5-J.Myers kicks 65 yards from SEA 35 to end zone, Touchback to the MIA 30.",1,"10:49",NA,0,35,"kickoff",0,"MIA","SEA",-3,0.5936319231987,0.4063680768013,0.0584372878074646,0.0068853497505188,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",12,"(10:49) (Shotgun) 19-S.Thompson pass short left to 28-D.Achane to SEA 48 for 22 yards (2-R.Jenkins).",1,"10:49",1,10,70,"pass",22,"MIA","SEA",-3,0.586746573448181,0.413253426551819,-0.0068853497505188,0.0624998807907104,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",13,"(10:08) (Shotgun) 25-J.Wright left end pushed ob at SEA 39 for 9 yards (48-T.Knight).",1,"10:08",1,10,48,"run",9,"MIA","SEA",-3,0.524246692657471,0.475753307342529,-0.0624998807907104,0.030840277671814,"SEA","MIA",3,"2024-09-22","REG",2,3
"2024_03_MIA_SEA",14,"(9:28) (Shotgun) 19-S.Thompson pass incomplete short right to 28-D.Achane (53-B.Mafe) [53-B.Mafe].",1,"09:28",2,1,39,"pass",0,"MIA","SEA",-3,0.493406414985657,0.506593585014343,-0.030840277671814,-0.0323872268199921,"SEA","MIA",3,"2024-09-22","REG",2,3
