"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_03_PHI_NO",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",2,"10-B.Mann kicks 65 yards from PHI 35 to end zone, Touchback to the NO 30.",1,"15:00",NA,0,35,"kickoff",0,"NO","PHI",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",3,"(15:00) 41-A.Kamara right tackle to NO 30 for no gain (17-N.Dean; 90-J.Davis).",1,"15:00",1,10,70,"run",0,"NO","PHI",0,0.552488088607788,0.447511911392212,0.0062263011932373,-0.0181949734687805,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",4,"(14:24) (Shotgun) 4-D.Carr pass short right to 12-C.Olave pushed ob at NO 39 for 9 yards (2-D.Slay).",1,"14:24",2,10,70,"pass",9,"NO","PHI",0,0.534293115139008,0.465706884860992,-0.0181949734687805,0.0216943621635437,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",5,"(13:56) 41-A.Kamara right end pushed ob at NO 47 for 8 yards (8-C.Gardner-Johnson, 2-D.Slay). NO-78-E.McCoy was injured during the play.",1,"13:56",3,1,61,"run",8,"NO","PHI",0,0.555987477302551,0.444012522697449,0.0216943621635437,0.0239889621734619,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",6,"(13:25) 41-A.Kamara left end pushed ob at PHI 49 for 4 yards (8-C.Gardner-Johnson).",1,"13:25",1,10,53,"run",4,"NO","PHI",0,0.579976439476013,0.420023560523987,0.0239889621734619,-0.0082787275314331,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",7,"(12:51) (Shotgun) PENALTY on PHI-19-J.Sweat, Encroachment, 5 yards, enforced at PHI 49 - No Play.",1,"12:51",2,6,49,"no_play",0,"NO","PHI",0,0.57169771194458,0.42830228805542,-0.0082787275314331,0.0327883362770081,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",8,"(12:44) 41-A.Kamara right guard to PHI 42 for 2 yards (53-Z.Baun).",1,"12:44",2,1,44,"run",2,"NO","PHI",0,0.604486048221588,0.395513951778412,0.0327883362770081,-0.0200393795967102,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",9,"(12:05) 4-D.Carr pass incomplete short middle to 84-M.Tipton.",1,"12:05",1,10,42,"pass",0,"NO","PHI",0,0.584446668624878,0.415553331375122,-0.0200393795967102,-0.0179151296615601,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",10,"(12:00) (Shotgun) 41-A.Kamara left end to PHI 40 for 2 yards (17-N.Dean).",1,"12:00",2,10,42,"run",2,"NO","PHI",0,0.566531538963318,0.433468461036682,-0.0179151296615601,-0.0011589527130127,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",11,"(11:15) (Shotgun) 4-D.Carr pass short middle to 12-C.Olave to PHI 25 for 15 yards (27-Q.Mitchell).",1,"11:15",3,8,40,"pass",15,"NO","PHI",0,0.565372586250305,0.434627413749695,-0.0011589527130127,0.0848896503448486,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",12,"(10:31) 41-A.Kamara right guard to PHI 24 for 1 yard (55-B.Graham; 98-J.Carter).",1,"10:31",1,10,25,"run",1,"NO","PHI",0,0.650262236595154,0.349737763404846,0.0848896503448486,-0.0129737257957458,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",13,"(9:50) (Shotgun) 4-D.Carr pass short left to 21-Ja.Williams to PHI 24 for no gain (53-Z.Baun, 17-N.Dean).",1,"09:50",2,9,24,"pass",0,"NO","PHI",0,0.637288510799408,0.362711489200592,-0.0129737257957458,-0.0255734324455261,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",14,"(9:10) (Shotgun) 4-D.Carr pass short left to 12-C.Olave to PHI 12 for 12 yards (32-R.Blankenship).",1,"09:10",3,9,24,"pass",12,"NO","PHI",0,0.611715078353882,0.388284921646118,-0.0255734324455261,0.0621963739395142,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",15,"(8:24) 41-A.Kamara right tackle to PHI 8 for 4 yards (3-N.Smith).",1,"08:24",1,10,12,"run",4,"NO","PHI",0,0.673911452293396,0.326088547706604,0.0621963739395142,-0.00175809860229492,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",16,"(7:53) PENALTY on NO-87-F.Moreau, False Start, 5 yards, enforced at PHI 8 - No Play.",1,"07:53",2,6,8,"no_play",0,"NO","PHI",0,0.672153353691101,0.327846646308899,-0.00175809860229492,-0.0253434777259827,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",17,"(7:38) (Shotgun) 41-A.Kamara right end pushed ob at PHI 16 for -3 yards (93-M.Williams, 53-Z.Baun).",1,"07:38",2,11,13,"run",-3,"NO","PHI",0,0.646809875965118,0.353190124034882,-0.0253434777259827,-0.0342382788658142,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",18,"(6:56) (Shotgun) 4-D.Carr pass incomplete short middle to 21-Ja.Williams (98-J.Carter) [19-J.Sweat].",1,"06:56",3,14,16,"pass",0,"NO","PHI",0,0.612571597099304,0.387428402900696,-0.0342382788658142,-0.0397443771362305,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",19,"(6:53) 19-B.Grupe 34 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",1,"06:53",4,14,16,"field_goal",0,"NO","PHI",0,0.572827219963074,0.427172780036926,-0.0397443771362305,0.0175188481807709,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",20,"19-B.Grupe kicks 65 yards from NO 35 to end zone, Touchback to the PHI 30.",1,"06:51",NA,0,35,"kickoff",0,"PHI","NO",-3,0.590346068143845,0.409653931856155,0.0175188481807709,0.00690194964408875,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",21,"(6:51) (Shotgun) 1-J.Hurts right guard to PHI 27 for -3 yards (96-C.Granderson).",1,"06:51",1,10,70,"run",-3,"PHI","NO",-3,0.583444118499756,0.416555881500244,-0.00690194964408875,-0.0340514779090881,"NO","PHI",3,"2024-09-22","REG",3,3
"2024_03_PHI_NO",22,"(6:10) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert to PHI 29 for 2 yards (96-C.Granderson).",1,"06:10",2,13,73,"pass",2,"PHI","NO",-3,0.617495596408844,0.382504403591156,0.0340514779090881,-0.020598441362381,"NO","PHI",3,"2024-09-22","REG",3,3
