"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_04_BUF_BAL",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",2,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback to the BUF 30.",1,"15:00",NA,0,35,"kickoff",0,"BUF","BAL",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",3,"(15:00) (Shotgun) 17-J.Allen pass short left to 86-D.Kincaid to BUF 35 for 5 yards (44-M.Humphrey).",1,"15:00",1,10,70,"pass",5,"BUF","BAL",0,0.566453754901886,0.433546245098114,-0.00033828616142273,0.00221392512321472,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",4,"(14:36) (No Huddle, Shotgun) 17-J.Allen pass short right to 10-K.Shakir to BUF 35 for no gain (14-K.Hamilton).",1,"14:36",2,5,65,"pass",0,"BUF","BAL",0,0.564239829778671,0.435760170221329,-0.00221392512321472,-0.0172991752624512,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",5,"(13:57) (Shotgun) 17-J.Allen scrambles up the middle to BUF 39 for 4 yards (44-M.Humphrey).",1,"13:57",3,5,65,"run",4,"BUF","BAL",0,0.581539005041122,0.418460994958878,0.0172991752624512,-0.0151243805885315,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",6,"(13:15) 17-J.Allen left guard to BUF 42 for 3 yards (98-T.Jones; 23-T.Simpson).",1,"13:15",4,1,61,"run",3,"BUF","BAL",0,0.596663385629654,0.403336614370346,0.0151243805885315,0.0515627861022949,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",7,"(12:33) 4-J.Cook left tackle to 50 for 8 yards (14-K.Hamilton).",1,"12:33",1,10,58,"run",8,"BUF","BAL",0,0.545100599527359,0.454899400472641,-0.0515627861022949,0.0222478210926056,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",8,"(11:53) 22-R.Davis right guard to 50 for no gain (98-T.Jones, 2-N.Wiggins).",1,"11:53",2,2,50,"run",0,"BUF","BAL",0,0.522852778434753,0.477147221565247,-0.0222478210926056,-0.0283188223838806,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",9,"(11:14) (Shotgun) 17-J.Allen pass incomplete short middle to 86-D.Kincaid.",1,"11:14",3,2,50,"pass",0,"BUF","BAL",0,0.551171600818634,0.448828399181366,0.0283188223838806,-0.0404240190982819,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",10,"(11:09) 8-S.Martin punts 37 yards to BAL 13, Center-69-R.Ferguson, fair catch by 3-D.Harty.",1,"11:09",4,2,50,"punt",0,"BUF","BAL",0,0.591595619916916,0.408404380083084,0.0404240190982819,-0.0116133987903595,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",11,"(11:02) (Shotgun) 22-D.Henry right tackle for 87 yards, TOUCHDOWN.",1,"11:02",1,10,87,"run",87,"BAL","BUF",0,0.603209018707275,0.396790981292725,0.0116133987903595,0.150601258720563,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",12,"9-J.Tucker extra point is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",1,"10:50",NA,0,15,"extra_point",0,"BAL","BUF",6,0.753810277427839,0.246189722572161,0.150601258720563,0.00157500222761797,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",13,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback to the BUF 30.",1,"10:50",NA,0,35,"kickoff",0,"BUF","BAL",-7,0.755385279655457,0.244614720344543,0.00157500222761797,0.000254541635513306,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",14,"(10:50) (Shotgun) 4-J.Cook left tackle to BUF 38 for 8 yards (23-T.Simpson; 0-R.Smith).",1,"10:50",1,10,70,"run",8,"BUF","BAL",-7,0.755130738019943,0.244869261980057,-0.000254541635513306,0.0140668749809265,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",15,"(10:07) (Shotgun) 17-J.Allen pass short middle to 86-D.Kincaid to BUF 45 for 7 yards (14-K.Hamilton).",1,"10:07",2,2,62,"pass",7,"BUF","BAL",-7,0.741063863039017,0.258936136960983,-0.0140668749809265,0.0127326250076294,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",16,"(9:33) (Shotgun) 17-J.Allen pass short left to 4-J.Cook to BAL 46 for 9 yards (0-R.Smith).",1,"09:33",1,10,55,"pass",9,"BUF","BAL",-7,0.728331238031387,0.271668761968613,-0.0127326250076294,0.00252458453178406,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",17,"(9:06) (No Huddle) 17-J.Allen left guard to BAL 43 for 3 yards (23-T.Simpson; 0-R.Smith). BUF-66-C.McGovern was injured during the play.",1,"09:06",2,1,46,"run",3,"BUF","BAL",-7,0.725806653499603,0.274193346500397,-0.00252458453178406,-0.00595638155937195,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",18,"(8:36) (Shotgun) 4-J.Cook left guard to BAL 39 for 4 yards (0-R.Smith).",1,"08:36",1,10,43,"run",4,"BUF","BAL",-7,0.731763035058975,0.268236964941025,0.00595638155937195,-0.00375106930732727,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",19,"(8:01) 17-J.Allen pass incomplete short right [53-K.Van Noy].",1,"08:01",2,6,39,"pass",0,"BUF","BAL",-7,0.735514104366302,0.264485895633698,0.00375106930732727,-0.0116633772850037,"BAL","BUF",4,"2024-09-29","REG",3,3
"2024_04_BUF_BAL",20,"(7:53) (Shotgun) 17-J.Allen pass short right to 86-D.Kincaid pushed ob at BAL 33 for 6 yards (14-K.Hamilton).",1,"07:53",3,6,39,"pass",6,"BUF","BAL",-7,0.747177481651306,0.252822518348694,0.0116633772850037,0.0372437238693237,"BAL","BUF",4,"2024-09-29","REG",3,3
