"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_04_KC_LAC",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",2,"11-C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the KC 30.",1,"15:00",NA,0,35,"kickoff",0,"KC","LAC",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",3,"(15:00) (Shotgun) 15-P.Mahomes pass short right to 42-C.Steele to KC 30 for no gain (95-P.Ford).",1,"15:00",1,10,70,"pass",0,"KC","LAC",0,0.566453754901886,0.433546245098114,-0.00033828616142273,-0.0179159939289093,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",4,"(14:20) 15-P.Mahomes pass short right to 83-N.Gray to KC 32 for 2 yards (0-D.Henley).",1,"14:20",2,10,70,"pass",2,"KC","LAC",0,0.584369748830795,0.415630251169205,0.0179159939289093,-0.0194749236106873,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",5,"(13:35) (Shotgun) 15-P.Mahomes pass deep right to 87-T.Kelce to LAC 30 for 38 yards (24-A.Finley).",1,"13:35",3,8,68,"pass",38,"KC","LAC",0,0.603844672441483,0.396155327558517,0.0194749236106873,0.135441809892654,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",6,"(12:59) 42-C.Steele up the middle to LAC 27 for 3 yards (45-T.Tuipulotu). FUMBLES (45-T.Tuipulotu), RECOVERED by LAC-22-E.Molden at LAC 26.",1,"12:59",1,10,30,"run",3,"KC","LAC",0,0.468402862548828,0.531597137451172,-0.135441809892654,-0.144294261932373,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",7,"(12:52) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey to LAC 31 for 5 yards (22-T.McDuffie; 23-D.Tranquill).",1,"12:52",1,10,74,"pass",5,"LAC","KC",0,0.612697124481201,0.387302875518799,0.144294261932373,-0.00110220909118652,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",8,"(12:07) 1-Q.Johnston left end pushed ob at LAC 35 for 4 yards (6-B.Cook).",1,"12:07",2,5,69,"run",4,"LAC","KC",0,0.611594915390015,0.388405084609985,-0.00110220909118652,0.0114117860794067,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",9,"(11:15) 4-G.Edwards up the middle to LAC 40 for 5 yards (32-N.Bolton, 6-B.Cook).",1,"11:15",3,1,65,"run",5,"LAC","KC",0,0.623006701469421,0.376993298530579,0.0114117860794067,0.0131982564926147,"LAC","KC",4,"2024-09-29","REG",3,3
"2024_04_KC_LAC",10,"Timeout #1 by LAC at 10:36.",1,"10:36",NA,0,NA,"no_play",0,NA,NA,NA,0.636204957962036,0.363795042037964,0.0131982564926147,0,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",11,"(10:36) (Shotgun) 27-J.Dobbins up the middle to KC 48 for 12 yards (32-N.Bolton).",1,"10:36",1,10,60,"run",12,"LAC","KC",0,0.636204957962036,0.363795042037964,0,0.0111942291259766,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",12,"(9:55) (Shotgun) 27-J.Dobbins left guard to KC 48 for no gain (94-M.Herring, 23-D.Tranquill).",1,"09:55",1,10,48,"run",0,"LAC","KC",0,0.647399187088013,0.352600812911987,0.0111942291259766,-0.0144445896148682,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",13,"(9:18) (Shotgun) 10-J.Herbert pass short left to 81-W.Dissly to KC 26 for 22 yards (6-B.Cook).",1,"09:18",2,10,48,"pass",22,"LAC","KC",0,0.632954597473145,0.367045402526855,-0.0144445896148682,0.0782384276390076,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",14,"(8:33) (Shotgun) 27-J.Dobbins right guard to KC 24 for 2 yards (69-M.Pennel).",1,"08:33",1,10,26,"run",2,"LAC","KC",0,0.711193025112152,0.288806974887848,0.0782384276390076,-0.0095287561416626,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",15,"(7:47) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey to KC 9 for 15 yards (35-Ja.Watson).",1,"07:47",2,8,24,"pass",15,"LAC","KC",0,0.70166426897049,0.29833573102951,-0.0095287561416626,0.0224522948265076,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",16,"(7:00) (Shotgun) 4-G.Edwards left tackle to KC 7 for 2 yards (23-D.Tranquill, 13-N.Johnson).",1,"07:00",1,9,9,"run",2,"LAC","KC",0,0.724116563796997,0.275883436203003,0.0224522948265076,-0.0138673186302185,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",17,"(6:21) (Shotgun) 10-J.Herbert pass short middle to 15-L.McConkey for 7 yards, TOUCHDOWN [94-M.Herring].",1,"06:21",2,7,7,"pass",7,"LAC","KC",0,0.710249245166779,0.289750754833221,-0.0138673186302185,0.0429593319974033,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",18,"11-C.Dicker extra point is GOOD, Center-47-J.Harris, Holder-16-J.Scott.",1,"06:16",NA,0,15,"extra_point",0,"LAC","KC",6,0.753208577164182,0.246791422835818,0.0429593319974033,0.000884593001833744,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",19,"11-C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the KC 30.",1,"06:16",NA,0,35,"kickoff",0,"KC","LAC",-7,0.754093170166016,0.245906829833984,0.000884593001833744,0.00025545060634613,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",20,"(6:16) (Shotgun) 15-P.Mahomes pass deep left intended for 87-T.Kelce INTERCEPTED by 7-K.Fulton at KC 49. 7-K.Fulton to KC 20 for 29 yards (4-R.Rice). FUMBLES (4-R.Rice), RECOVERED by KC-52-C.Humphrey at KC 20. KC-4-R.Rice was injured during the play. The Replay Official reviewed the ball was inbounds ruling, and the play was REVERSED. (Shotgun) 15-P.Mahomes pass deep left intended for 87-T.Kelce INTERCEPTED by 7-K.Fulton at KC 49. 7-K.Fulton to KC 20 for 29 yards (4-R.Rice). FUMBLES (4-R.Rice), ball out of bounds at KC 20.",1,"06:16",1,10,70,"pass",0,"KC","LAC",-7,0.75383771955967,0.24616228044033,-0.00025545060634613,-0.096312627196312,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",21,"(6:06) (Shotgun) 4-G.Edwards left end to KC 19 for 1 yard (32-N.Bolton; 23-D.Tranquill). PENALTY on LAC-62-S.Mustipher, Chop Block, 15 yards, enforced at KC 20 - No Play.",1,"06:06",1,10,20,"no_play",0,"LAC","KC",7,0.850150346755981,0.149849653244019,0.096312627196312,-0.0102468729019165,"LAC","KC",4,"2024-09-29","REG",2,3
"2024_04_KC_LAC",22,"(5:38) (Shotgun) 10-J.Herbert pass short right to 88-H.Hurst ran ob at KC 29 for 6 yards.",1,"05:38",1,25,35,"pass",6,"LAC","KC",7,0.839903473854065,0.160096526145935,-0.0102468729019165,-0.000226616859436035,"LAC","KC",4,"2024-09-29","REG",2,3
