"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_05_MIA_NE",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",2,"13-J.Slye kicks 58 yards from NE 35 to MIA 7. 0-B.Berrios to MIA 26 for 19 yards (53-C.Elliss).",1,"15:00",NA,0,35,"kickoff",0,"MIA","NE",0,0.566792041063309,0.433207958936691,0,0,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",3,"(14:55) 28-D.Achane up the middle to MIA 30 for 4 yards (50-R.McMillan).",1,"14:55",1,10,74,"run",4,"MIA","NE",0,0.566792041063309,0.433207958936691,0,-0.0124519169330597,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",4,"(14:26) 18-T.Huntley pass deep right to 10-T.Hill to MIA 48 for 18 yards (0-C.Gonzalez).",1,"14:26",2,6,70,"pass",18,"MIA","NE",0,0.579243957996368,0.420756042003632,0.0124519169330597,0.0593618452548981,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",5,"(13:54) 28-D.Achane left guard to 50 for 2 yards (33-A.Jennings; 95-D.Ekuale).",1,"13:54",1,10,52,"run",2,"MIA","NE",0,0.51988211274147,0.48011788725853,-0.0593618452548981,-0.0182713270187378,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",6,"(13:22) (Shotgun) 18-T.Huntley pass short middle to 9-J.Smith to NE 42 for 8 yards (48-J.Tavai; 50-R.McMillan).",1,"13:22",2,8,50,"pass",8,"MIA","NE",0,0.538153439760208,0.461846560239792,0.0182713270187378,0.0182713270187378,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",7,"(12:41) (Shotgun) 18-T.Huntley sacked at NE 49 for -7 yards (sack split by 33-A.Jennings and 95-D.Ekuale).",1,"12:41",1,10,42,"pass",-7,"MIA","NE",0,0.51988211274147,0.48011788725853,-0.0182713270187378,-0.0296370685100555,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",8,"(12:02) (Shotgun) 31-R.Mostert up the middle to NE 49 for no gain (48-J.Tavai; 95-D.Ekuale).",1,"12:02",2,17,49,"run",0,"MIA","NE",0,0.549519181251526,0.450480818748474,0.0296370685100555,-0.0321061313152313,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",9,"(11:25) (Shotgun) 18-T.Huntley pass short middle to 9-J.Smith to NE 36 for 13 yards (53-C.Elliss; 15-M.Mapu).",1,"11:25",3,17,49,"pass",13,"MIA","NE",0,0.581625312566757,0.418374687433243,0.0321061313152313,0.0201766490936279,"NE","MIA",5,"2024-10-06","REG",3,3
"2024_05_MIA_NE",10,"(10:44) 7-J.Sanders 54 yard field goal is GOOD, Center-48-B.Ferguson, Holder-16-J.Bailey.",1,"10:44",4,4,36,"field_goal",0,"MIA","NE",0,0.561448663473129,0.438551336526871,-0.0201766490936279,0.0452297031879425,"NE","MIA",5,"2024-10-06","REG",3,3
