"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_08_ATL_TB",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",2,"13-B.Pinion kicks 65 yards from ATL 35 to end zone, Touchback to the TB 30.",1,"15:00",NA,0,35,"kickoff",0,"TB","ATL",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",3,"(15:00) 1-R.White right guard to TB 38 for 8 yards (90-D.Onyemata).",1,"15:00",1,10,70,"run",8,"TB","ATL",0,0.552488088607788,0.447511911392212,0.0062263011932373,0.0322895050048828,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",4,"(14:23) 1-R.White up the middle to TB 43 for 5 yards (50-J.Smith-Williams, 3-J.Bates). FUMBLES (3-J.Bates), RECOVERED by ATL-3-J.Bates at TB 43. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",1,"14:23",2,2,62,"run",5,"TB","ATL",0,0.584777593612671,0.415222406387329,0.0322895050048828,-0.132413029670715,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",5,"(14:11) (Shotgun) 7-B.Robinson left tackle to TB 42 for 1 yard (94-C.Kancey).",1,"14:11",1,10,43,"run",1,"ATL","TB",0,0.452364563941956,0.547635436058044,-0.132413029670715,-0.0155774354934692,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",6,"(13:38) (No Huddle, Shotgun) 18-K.Cousins pass short left to 5-D.London to TB 36 for 6 yards (24-T.Funderburk; 54-L.David).",1,"13:38",2,9,42,"pass",6,"ATL","TB",0,0.467941999435425,0.532058000564575,0.0155774354934692,0.0336286425590515,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",7,"(13:02) (Shotgun) 18-K.Cousins pass incomplete short right to 5-D.London.",1,"13:02",3,3,36,"pass",0,"ATL","TB",0,0.434313356876373,0.565686643123627,-0.0336286425590515,-0.0287082195281982,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",8,"(12:59) (Shotgun) 18-K.Cousins pass deep right to 8-K.Pitts for 36 yards, TOUCHDOWN. Penalty on TB-26-K.Merriweather, Defensive Holding, declined.",1,"12:59",4,3,36,"pass",36,"ATL","TB",0,0.463021576404572,0.536978423595428,0.0287082195281982,0.135824149978494,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",9,"6-Y.Koo extra point is GOOD, Center-49-L.McCullough, Holder-13-B.Pinion.",1,"12:52",NA,0,15,"extra_point",0,"ATL","TB",6,0.327197426426077,0.672802573573923,-0.135824149978494,0.00119095431532901,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",10,"13-B.Pinion kicks 65 yards from ATL 35 to end zone, Touchback to the TB 30.",1,"12:52",NA,0,35,"kickoff",0,"TB","ATL",-7,0.326006472110748,0.673993527889252,-0.00119095431532901,0.00555029511451721,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",11,"(12:52) (Shotgun) 6-B.Mayfield pass short right to 7-B.Irving to TB 38 for 8 yards (53-N.Landman, 3-J.Bates).",1,"12:52",1,10,70,"pass",8,"TB","ATL",-7,0.331556767225266,0.668443232774734,0.00555029511451721,0.0351923406124115,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",12,"(12:15) 7-B.Irving right end to TB 40 for 2 yards (15-M.Judon; 55-K.Elliss).",1,"12:15",2,2,62,"run",2,"TB","ATL",-7,0.366749107837677,0.633250892162323,0.0351923406124115,-0.0115700364112854,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",13,"(11:32) (Shotgun) 1-R.White right guard to TB 45 for 5 yards (97-G.Jarrett; 55-K.Elliss).",1,"11:32",1,10,60,"run",5,"TB","ATL",-7,0.355179071426392,0.644820928573608,-0.0115700364112854,-0.00499790906906128,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",14,"(10:50) 6-B.Mayfield pass short right to 7-B.Irving to TB 42 for -3 yards (91-D.Harris).",1,"10:50",2,5,55,"pass",-3,"TB","ATL",-7,0.35018116235733,0.64981883764267,-0.00499790906906128,-0.0366261303424835,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",15,"(10:08) (Shotgun) 6-B.Mayfield pass short right to 88-C.Otton to TB 49 for 7 yards (3-J.Bates).",1,"10:08",3,8,58,"pass",7,"TB","ATL",-7,0.313555032014847,0.686444967985153,-0.0366261303424835,-0.0207558274269104,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",16,"(9:47) (No Huddle) 6-B.Mayfield up the middle to 50 for 1 yard (53-N.Landman). FUMBLES (53-N.Landman), and recovers at ATL 49.",1,"09:47",4,1,51,"run",2,"TB","ATL",-7,0.292799204587936,0.707200795412064,-0.0207558274269104,0.0693537294864655,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",17,"(9:08) (Shotgun) 7-B.Irving right tackle to ATL 34 for 15 yards (53-N.Landman).",1,"09:08",1,10,49,"run",15,"TB","ATL",-7,0.362152934074402,0.637847065925598,0.0693537294864655,0.0121002197265625,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",18,"(8:26) 7-B.Irving right tackle to ATL 32 for 2 yards (95-T.Graham, 96-Z.Harrison).",1,"08:26",1,10,34,"run",2,"TB","ATL",-7,0.374253153800964,0.625746846199036,0.0121002197265625,-0.00834023952484131,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",19,"(7:45) (Shotgun) 6-B.Mayfield pass short middle to 17-S.Shepard to ATL 28 for 4 yards (17-A.Ebiketie).",1,"07:45",2,8,32,"pass",4,"TB","ATL",-7,0.365912914276123,0.634087085723877,-0.00834023952484131,0.00581866502761841,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",20,"(7:07) (Shotgun) 1-R.White left guard to ATL 23 for 5 yards (24-A.Terrell; 27-R.Grant).",1,"07:07",3,4,28,"run",5,"TB","ATL",-7,0.371731579303741,0.628268420696259,0.00581866502761841,0.0483660697937012,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",21,"(6:33) (Shotgun) 7-B.Irving left end to ATL 15 for 8 yards (15-M.Judon).",1,"06:33",1,10,23,"run",8,"TB","ATL",-7,0.420097649097443,0.579902350902557,0.0483660697937012,0.0123791992664337,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",22,"(5:53) 7-B.Irving right guard to ATL 7 for 8 yards (21-M.Hughes).",1,"05:53",2,2,15,"run",8,"TB","ATL",-7,0.432476848363876,0.567523151636124,0.0123791992664337,0.014268696308136,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",23,"(5:10) (Shotgun) 1-R.White right guard to ATL 5 for 2 yards (97-G.Jarrett; 99-E.Goldman).",1,"05:10",1,7,7,"run",2,"TB","ATL",-7,0.446745544672012,0.553254455327988,0.014268696308136,-0.0136207938194275,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",24,"(4:30) 6-B.Mayfield pass incomplete short right to 88-C.Otton.",1,"04:30",2,5,5,"pass",0,"TB","ATL",-7,0.433124750852585,0.566875249147415,-0.0136207938194275,-0.0181427001953125,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",25,"(4:25) (Shotgun) 6-B.Mayfield pass short middle to 88-C.Otton for 5 yards, TOUCHDOWN.",1,"04:25",3,5,5,"pass",5,"TB","ATL",-7,0.414982050657272,0.585017949342728,-0.0181427001953125,0.0811421550108891,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",26,"4-C.McLaughlin extra point is GOOD, Center-45-Z.Triner, Holder-16-T.Gill.",1,"04:22",NA,0,15,"extra_point",0,"TB","ATL",-1,0.496124205668161,0.503875794331839,0.0811421550108891,0.00442451469164085,"TB","ATL",8,"2024-10-27","REG",3,3
"2024_08_ATL_TB",27,"16-T.Gill kicks 65 yards from TB 35 to end zone, Touchback to the ATL 30.",1,"04:22",NA,0,35,"kickoff",0,"ATL","TB",0,0.500548720359802,0.499451279640198,0.00442451469164085,0.00711667537689209,"TB","ATL",8,"2024-10-27","REG",3,3
