"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_08_TEN_DET",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",2,"6-N.Folk kicks 65 yards from TEN 35 to end zone, Touchback to the DET 30.",1,"15:00",NA,0,35,"kickoff",0,"DET","TEN",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",3,"(15:00) 16-J.Goff sacked at DET 23 for -7 yards (49-A.Key).",1,"15:00",1,10,70,"pass",-7,"DET","TEN",0,0.552488088607788,0.447511911392212,0.0062263011932373,-0.0318888425827026,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",4,"(14:26) (Shotgun) 16-J.Goff pass short middle to 14-A.St. Brown to DET 29 for 6 yards (28-Q.Diggs).",1,"14:26",2,17,77,"pass",6,"DET","TEN",0,0.520599246025085,0.479400753974915,-0.0318888425827026,-0.0235342085361481,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",5,"(13:51) (Shotgun) 16-J.Goff pass short middle to 26-J.Gibbs to DET 35 for 6 yards (28-Q.Diggs).",1,"13:51",3,11,71,"pass",6,"DET","TEN",0,0.497065037488937,0.502934962511063,-0.0235342085361481,0.00157836079597473,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",6,"(13:10) 3-J.Fox punts 57 yards to TEN 8, Center-49-H.Hatten. 19-J.Jackson to TEN 16 for 8 yards (33-S.Vaki). FUMBLES (33-S.Vaki), touched at TEN 16, and recovers at TEN 15.",1,"13:10",4,5,65,"punt",0,"DET","TEN",0,0.498643398284912,0.501356601715088,0.00157836079597473,0.0245664417743683,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",7,"(12:57) 20-T.Pollard right tackle to TEN 19 for 4 yards (54-A.McNeill).",1,"12:57",1,10,85,"run",4,"TEN","DET",0,0.52320984005928,0.47679015994072,0.0245664417743683,0.000253796577453613,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",8,"(12:18) (Shotgun) 11-M.Rudolph pass short right to 0-C.Ridley to TEN 32 for 13 yards (23-C.Davis).",1,"12:18",2,6,81,"pass",13,"TEN","DET",0,0.522956043481827,0.477043956518173,-0.000253796577453613,0.0299611985683441,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",9,"(11:43) (Shotgun) 20-T.Pollard left end to TEN 32 for no gain (98-D.Reader).",1,"11:43",1,10,68,"run",0,"TEN","DET",0,0.492994844913483,0.507005155086517,-0.0299611985683441,-0.0156769752502441,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",10,"(11:07) (Shotgun) 11-M.Rudolph pass short right intended for 84-N.Vannett INTERCEPTED by 53-T.Nowaske [91-L.Onwuzurike] at TEN 31. 53-T.Nowaske to TEN 23 for 8 yards (81-J.Whyle).",1,"11:07",2,10,68,"pass",0,"TEN","DET",0,0.508671820163727,0.491328179836273,0.0156769752502441,-0.151653528213501,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",11,"(10:59) (Shotgun) 5-D.Montgomery up the middle to TEN 14 for 9 yards (28-Q.Diggs). PENALTY on TEN-49-A.Key, Face Mask, 7 yards, enforced at TEN 14.",1,"10:59",1,10,23,"run",9,"DET","TEN",0,0.660325348377228,0.339674651622772,0.151653528213501,0.0238928198814392,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",12,"(10:36) 5-D.Montgomery left tackle for 7 yards, TOUCHDOWN.",1,"10:36",1,7,7,"run",7,"DET","TEN",0,0.684218168258667,0.315781831741333,0.0238928198814392,0.013729495996934,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",13,"39-J.Bates extra point is GOOD, Center-49-H.Hatten, Holder-3-J.Fox.",1,"10:31",NA,0,15,"extra_point",0,"DET","TEN",6,0.697947664255601,0.302052335744399,0.013729495996934,0.00134779692222498,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",14,"39-J.Bates kicks 65 yards from DET 35 to TEN 0. 19-J.Jackson to TEN 29 for 29 yards (30-K.Dorsey).",1,"10:31",NA,0,35,"kickoff",0,"TEN","DET",-7,0.699295461177826,0.300704538822174,0.00134779692222498,0.00178062915802002,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",15,"(10:25) (Shotgun) 20-T.Pollard up the middle to TEN 46 for 17 yards (32-B.Branch).",1,"10:25",1,10,71,"run",17,"TEN","DET",-7,0.697514832019806,0.302485167980194,-0.00178062915802002,0.0347850024700165,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",16,"(9:49) 20-T.Pollard left tackle to 50 for 4 yards (0-T.Arnold).",1,"09:49",1,10,54,"run",4,"TEN","DET",-7,0.662729829549789,0.337270170450211,-0.0347850024700165,-0.00923088192939758,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",17,"(9:10) (Shotgun) 20-T.Pollard up the middle to TEN 48 for -2 yards (54-A.McNeill).",1,"09:10",2,6,50,"run",-2,"TEN","DET",-7,0.671960711479187,0.328039288520813,0.00923088192939758,-0.0338241457939148,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",18,"(8:30) (Shotgun) 11-M.Rudolph pass incomplete short middle to 15-N.Westbrook-Ikhine (23-C.Davis).",1,"08:30",3,8,52,"pass",0,"TEN","DET",-7,0.705784857273102,0.294215142726898,0.0338241457939148,-0.0214396417140961,"DET","TEN",8,"2024-10-27","REG",3,3
"2024_08_TEN_DET",19,"(8:25) 4-R.Stonehouse punts 45 yards to DET 7, Center-46-M.Cox. 11-K.Raymond to DET 17 for 10 yards (92-J.Harrell; 81-J.Whyle).",1,"08:25",4,8,52,"punt",0,"TEN","DET",-7,0.727224498987198,0.272775501012802,0.0214396417140961,-0.0125211775302887,"DET","TEN",8,"2024-10-27","REG",3,3
