"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_09_DEN_BAL",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",2,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback to the DEN 30.",1,"15:00",NA,0,35,"kickoff",0,"DEN","BAL",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",3,"(15:00) 38-J.McLaughlin right end to DEN 31 for 1 yard (32-M.Williams).",1,"15:00",1,10,70,"run",1,"DEN","BAL",0,0.566453754901886,0.433546245098114,-0.00033828616142273,-0.0179159939289093,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",4,"(14:35) (No Huddle) 10-B.Nix pass short right intended for 84-L.Humphrey INTERCEPTED by 29-A.Washington at DEN 37. 29-A.Washington to DEN 36 for 1 yard (84-L.Humphrey).",1,"14:35",2,9,69,"pass",0,"DEN","BAL",0,0.584369748830795,0.415630251169205,0.0179159939289093,-0.11447075009346,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",5,"(14:30) 8-L.Jackson pass short right to 7-R.Bateman to DEN 35 for 1 yard (21-R.Moss; 55-C.Barton).",1,"14:30",1,10,36,"pass",1,"BAL","DEN",0,0.698840498924255,0.301159501075745,0.11447075009346,-0.0109713673591614,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",6,"(13:51) 22-D.Henry left end to DEN 31 for 4 yards (0-J.Cooper, 98-J.Franklin-Myers).",1,"13:51",2,9,35,"run",4,"BAL","DEN",0,0.687869131565094,0.312130868434906,-0.0109713673591614,-0.0206079483032227,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",7,"(13:06) (Shotgun) 8-L.Jackson sacked at DEN 42 for -11 yards (98-J.Franklin-Myers).",1,"13:06",3,5,31,"pass",-11,"BAL","DEN",0,0.667261183261871,0.332738816738129,-0.0206079483032227,-0.0818392634391785,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",8,"(12:20) 11-J.Stout punts 40 yards to DEN 2, Center-46-N.Moore, downed by BAL-16-T.Wallace.",1,"12:20",4,16,42,"punt",0,"BAL","DEN",0,0.585421919822693,0.414578080177307,-0.0818392634391785,0.00307059288024902,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",9,"(12:12) 79-M.Peart reported in as eligible. 33-J.Williams right guard to DEN 4 for 2 yards (14-K.Hamilton; 96-B.Washington).",1,"12:12",1,10,98,"run",2,"DEN","BAL",0,0.588492512702942,0.411507487297058,0.00307059288024902,-0.0194583535194397,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",10,"(11:36) (Shotgun) 10-B.Nix pass short right to 82-A.Trautman pushed ob at DEN 8 for 4 yards (44-M.Humphrey).",1,"11:36",2,8,96,"pass",4,"DEN","BAL",0,0.607950866222382,0.392049133777618,0.0194583535194397,-0.0190104842185974,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",11,"(10:56) (Shotgun) 10-B.Nix pass short left to 17-D.Vele to DEN 13 for 5 yards (10-A.Maulet).",1,"10:56",3,4,92,"pass",5,"DEN","BAL",0,0.626961350440979,0.373038649559021,0.0190104842185974,0.0436195433139801,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",12,"(10:15) (Shotgun) 10-B.Nix pass short left to 38-J.McLaughlin pushed ob at DEN 19 for 6 yards (99-O.Oweh).",1,"10:15",1,10,87,"pass",6,"DEN","BAL",0,0.583341807126999,0.416658192873001,-0.0436195433139801,-0.00412720441818237,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",13,"(9:43) 33-J.Williams up the middle to DEN 25 for 6 yards (23-T.Simpson; 93-C.Wormley).",1,"09:43",2,4,81,"run",6,"DEN","BAL",0,0.587469011545181,0.412530988454819,0.00412720441818237,0.0206769704818726,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",14,"(9:06) (Shotgun) 10-B.Nix pass incomplete short right. PENALTY on DEN-16-T.Franklin, Offensive Pass Interference, 10 yards, enforced at DEN 25 - No Play.",1,"09:06",1,10,75,"no_play",0,"DEN","BAL",0,0.566792041063309,0.433207958936691,-0.0206769704818726,-0.0330977737903595,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",15,"(8:57) 33-J.Williams right guard to DEN 21 for 6 yards (14-K.Hamilton).",1,"08:57",1,20,85,"run",6,"DEN","BAL",0,0.599889814853668,0.400110185146332,0.0330977737903595,0.00230923295021057,"BAL","DEN",9,"2024-11-03","REG",3,3
"2024_09_DEN_BAL",16,"(8:34) (No Huddle, Shotgun) 10-B.Nix pass deep left to 14-C.Sutton to DEN 47 for 26 yards (29-A.Washington).",1,"08:34",2,14,79,"pass",26,"DEN","BAL",0,0.597580581903458,0.402419418096542,-0.00230923295021057,0.0619628131389618,"BAL","DEN",9,"2024-11-03","REG",3,3
