"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_09_MIA_BUF",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",2,"7-J.Sanders kicks 65 yards from MIA 35 to end zone, Touchback to the BUF 30. Ty.Johnson kneels, 5 yds. into end zone.",1,"15:00",NA,0,35,"kickoff",0,"BUF","MIA",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",3,"(15:00) 4-J.Cook left tackle to BUF 34 for 4 yards (93-C.Campbell, 6-A.Walker).",1,"15:00",1,10,70,"run",4,"BUF","MIA",0,0.552488088607788,0.447511911392212,0.0062263011932373,0.00102245807647705,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",4,"(14:20) 4-J.Cook left end to BUF 33 for -1 yards (90-D.Hand, 91-E.Ogbah).",1,"14:20",2,6,66,"run",-1,"BUF","MIA",0,0.553510546684265,0.446489453315735,0.00102245807647705,-0.0300816297531128,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",5,"(13:38) (Shotgun) 17-J.Allen pass incomplete deep left to 86-D.Kincaid [44-C.Robinson].",1,"13:38",3,7,67,"pass",0,"BUF","MIA",0,0.523428916931152,0.476571083068848,-0.0300816297531128,-0.0261147916316986,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",6,"(13:34) 8-S.Martin punts 49 yards to MIA 18, Center-69-R.Ferguson. 83-M.Washington to MIA 17 for -1 yards (39-C.Lewis).",1,"13:34",4,7,67,"punt",0,"BUF","MIA",0,0.497314125299454,0.502685874700546,-0.0261147916316986,0.0203956067562103,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",7,"(13:25) 28-D.Achane right guard to MIA 24 for 7 yards (42-Do.Williams).",1,"13:25",1,10,83,"run",7,"MIA","BUF",0,0.517709732055664,0.482290267944336,0.0203956067562103,0.0133195817470551,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",8,"(12:46) (Shotgun) 1-T.Tagovailoa pass short right to 10-T.Hill to MIA 30 for 6 yards (42-Do.Williams).",1,"12:46",2,3,76,"pass",6,"MIA","BUF",0,0.504390150308609,0.495609849691391,-0.0133195817470551,0.00521382689476013,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",9,"(12:06) (Shotgun) 1-T.Tagovailoa sacked at MIA 23 for -7 yards (50-G.Rousseau).",1,"12:06",1,10,70,"pass",-7,"MIA","BUF",0,0.499176323413849,0.500823676586151,-0.00521382689476013,-0.0271385610103607,"BUF","MIA",9,"2024-11-03","REG",3,3
"2024_09_MIA_BUF",10,"(11:23) (Shotgun) 1-T.Tagovailoa pass short right to 3-O.Beckham to MIA 29 for 6 yards (42-Do.Williams; 9-T.Rapp).",1,"11:23",2,17,77,"pass",6,"MIA","BUF",0,0.52631488442421,0.47368511557579,0.0271385610103607,-0.0226230025291443,"BUF","MIA",9,"2024-11-03","REG",3,3
