"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_12_PHI_LA",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",2,"10-B.Mann kicks 65 yards from PHI 35 to end zone, Touchback to the LA 30.",1,"15:00",NA,0,35,"kickoff",0,"LA","PHI",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",3,"(15:00) 9-M.Stafford pass short right to 17-P.Nacua pushed ob at LA 37 for 7 yards (2-D.Slay).",1,"15:00",1,10,70,"pass",7,"LA","PHI",0,0.552488088607788,0.447511911392212,0.0062263011932373,0.0256803035736084,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",4,"(14:31) 23-K.Williams up the middle to LA 41 for 4 yards (19-J.Sweat).",1,"14:31",2,3,63,"run",4,"LA","PHI",0,0.578168392181396,0.421831607818604,0.0256803035736084,-0.00559502840042114,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",5,"(13:51) 9-M.Stafford scrambles up the middle to PHI 44 for 15 yards (8-C.Gardner-Johnson).",1,"13:51",1,10,59,"run",15,"LA","PHI",0,0.572573363780975,0.427426636219025,-0.00559502840042114,0.0118733048439026,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",6,"(13:11) 23-K.Williams left tackle to PHI 17 for 27 yards (8-C.Gardner-Johnson). PHI-2-D.Slay was injured during the play. PHI-32-R.Blankenship was injured during the play.",1,"13:11",1,10,44,"run",27,"LA","PHI",0,0.584446668624878,0.415553331375122,0.0118733048439026,0.0752860307693481,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",7,"(12:38) 23-K.Williams right tackle to PHI 16 for 1 yard (34-I.Rodgers). Philadelphia challenged the runner was down by contact ruling, and the play was REVERSED. 23-K.Williams right tackle to PHI 16 for 1 yard (34-I.Rodgers). FUMBLES (34-I.Rodgers), RECOVERED by PHI-17-N.Dean at PHI 17.",1,"12:38",1,10,17,"run",0,"LA","PHI",0,0.659732699394226,0.340267300605774,0.0752860307693481,-0.142022967338562,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",8,"(12:32) 26-S.Barkley up the middle to PHI 23 for 6 yards (91-K.Turner, 97-M.Hoecht).",1,"12:32",1,10,83,"run",6,"PHI","LA",0,0.517709732055664,0.482290267944336,-0.142022967338562,0.001381516456604,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",9,"(11:52) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert to PHI 29 for 6 yards (97-M.Hoecht; 48-O.Speights).",1,"11:52",2,4,77,"pass",6,"PHI","LA",0,0.51632821559906,0.48367178440094,-0.001381516456604,0.0121483206748962,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",10,"(11:10) (Shotgun) 1-J.Hurts pass deep right to 11-A.Brown pushed ob at PHI 48 for 19 yards (24-D.Williams).",1,"11:10",1,10,71,"pass",19,"PHI","LA",0,0.504179894924164,0.495820105075836,-0.0121483206748962,0.0518153309822083,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",11,"(10:32) 1-J.Hurts pass short left to 11-A.Brown to LA 35 for 17 yards (14-C.Durant).",1,"10:32",1,10,52,"pass",17,"PHI","LA",0,0.452364563941956,0.547635436058044,-0.0518153309822083,0.0492463111877441,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",12,"(9:48) (Shotgun) 26-S.Barkley left end to LA 27 for 8 yards (0-B.Young).",1,"09:48",1,10,35,"run",8,"PHI","LA",0,0.403118252754211,0.596881747245789,-0.0492463111877441,0.0139806270599365,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",13,"(9:01) (Shotgun) 1-J.Hurts left tackle to LA 18 for 9 yards (3-K.Curl).",1,"09:01",2,2,27,"run",9,"PHI","LA",0,0.389137625694275,0.610862374305725,-0.0139806270599365,0.0106631517410278,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",14,"(8:27) (No Huddle, Shotgun) 26-S.Barkley up the middle to LA 10 for 8 yards (8-J.Verse).",1,"08:27",1,10,18,"run",8,"PHI","LA",0,0.378474473953247,0.621525526046753,-0.0106631517410278,0.00683385133743286,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",15,"(8:04) (No Huddle, Shotgun) 26-S.Barkley left tackle to LA 8 for 2 yards (14-C.Durant).",1,"08:04",2,2,10,"run",2,"PHI","LA",0,0.371640622615814,0.628359377384186,-0.00683385133743286,0.00389730930328369,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",16,"(7:27) (No Huddle, Shotgun) 26-S.Barkley up the middle to LA 6 for 2 yards (95-B.Brown).",1,"07:27",1,8,8,"run",2,"PHI","LA",0,0.36774331331253,0.63225668668747,-0.00389730930328369,-0.00814676284790039,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",17,"(6:44) (Shotgun) 1-J.Hurts right tackle to LA 4 for 2 yards (90-T.Davis).",1,"06:44",2,6,6,"run",2,"PHI","LA",0,0.375890076160431,0.624109923839569,0.00814676284790039,-0.0148431658744812,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",18,"(6:03) (Shotgun) 1-J.Hurts pass short middle to 88-D.Goedert to LA 3 for 1 yard (48-O.Speights, 8-J.Verse).",1,"06:03",3,4,4,"pass",1,"PHI","LA",0,0.390733242034912,0.609266757965088,0.0148431658744812,-0.0158687233924866,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",19,"(5:17) 4-J.Elliott 21 yard field goal is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",1,"05:17",4,3,3,"field_goal",0,"PHI","LA",0,0.406601965427399,0.593398034572601,0.0158687233924866,-0.0318120121955872,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",20,"10-B.Mann kicks 65 yards from PHI 35 to end zone, Touchback to the LA 30.",1,"05:13",NA,0,35,"kickoff",0,"LA","PHI",-3,0.438413977622986,0.561586022377014,0.0318120121955872,0.00620168447494507,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",21,"(5:13) 23-K.Williams left tackle to LA 33 for 3 yards (17-N.Dean). ** Injury Update: PHI-2-D.Slay has returned to the game. ** Injury Update: PHI-32-R.Blankenship has returned to the game.",1,"05:13",1,10,70,"run",3,"LA","PHI",-3,0.444615662097931,0.555384337902069,0.00620168447494507,0.000513464212417603,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",22,"(4:37) 9-M.Stafford pass short middle to 17-P.Nacua to LA 47 for 14 yards (27-Q.Mitchell).",1,"04:37",2,7,67,"pass",14,"LA","PHI",-3,0.445129126310349,0.554870873689651,0.000513464212417603,0.0272733867168427,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",23,"(3:59) 9-M.Stafford pass short right to 10-C.Kupp pushed ob at PHI 49 for 4 yards (33-C.DeJean).",1,"03:59",1,10,53,"pass",4,"LA","PHI",-3,0.472402513027191,0.527597486972809,0.0272733867168427,-0.00842380523681641,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",24,"(3:24) 23-K.Williams left tackle to PHI 38 for 11 yards (32-R.Blankenship).",1,"03:24",2,6,49,"run",11,"LA","PHI",-3,0.463978707790375,0.536021292209625,-0.00842380523681641,0.0717375874519348,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",25,"(2:43) 9-M.Stafford pass incomplete short right to 10-C.Kupp [93-M.Williams].",1,"02:43",1,10,38,"pass",0,"LA","PHI",-3,0.53571629524231,0.46428370475769,0.0717375874519348,-0.0166997313499451,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",26,"(2:39) (Shotgun) 9-M.Stafford pass short middle to 15-D.Robinson to PHI 25 for 13 yards (17-N.Dean).",1,"02:39",2,10,38,"pass",13,"LA","PHI",-3,0.519016563892365,0.480983436107635,-0.0166997313499451,0.0359796285629272,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",27,"(2:00) 9-M.Stafford pass short right to 17-P.Nacua to PHI 7 for 18 yards (53-Z.Baun).",1,"02:00",1,10,25,"pass",18,"LA","PHI",-3,0.554996192455292,0.445003807544708,0.0359796285629272,0.039060115814209,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",28,"(1:16) 9-M.Stafford pass incomplete short right [55-B.Graham].",1,"01:16",1,7,7,"pass",0,"LA","PHI",-3,0.594056308269501,0.405943691730499,0.039060115814209,-0.0139145255088806,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",29,"(1:11) (Shotgun) 9-M.Stafford pass incomplete short middle to 15-D.Robinson. PENALTY on PHI-2-D.Slay, Defensive Pass Interference, 6 yards, enforced at PHI 7 - No Play.",1,"01:11",2,7,7,"no_play",0,"LA","PHI",-3,0.58014178276062,0.41985821723938,-0.0139145255088806,0.0368410348892212,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",30,"(1:06) (Shotgun) 23-K.Williams up the middle for 1 yard, TOUCHDOWN.",1,"01:06",1,1,1,"run",1,"LA","PHI",-3,0.616982817649841,0.383017182350159,0.0368410348892212,0.00247062919341268,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",31,"16-J.Karty extra point is GOOD, Center-47-A.Ward, Holder-42-E.Evans.",1,"01:02",NA,0,15,"extra_point",0,"LA","PHI",3,0.619453446843254,0.380546553156746,0.00247062919341268,0.00150163295067607,"LA","PHI",12,"2024-11-24","REG",3,3
"2024_12_PHI_LA",32,"42-E.Evans kicks 65 yards from LA 35 to end zone, Touchback to the PHI 30.",1,"01:02",NA,0,35,"kickoff",0,"PHI","LA",-4,0.62095507979393,0.37904492020607,0.00150163295067607,0.00672328472137451,"LA","PHI",12,"2024-11-24","REG",3,3
