"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_13_ARI_MIN",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",2,"96-J.Romo kicks 65 yards from MIN 35 to end zone, Touchback to the ARI 30.",1,"15:00",NA,0,35,"kickoff",0,"ARI","MIN",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",3,"(15:00) (Shotgun) 1-K.Murray pass short left to 87-T.Reiman to ARI 39 for 9 yards (44-J.Metellus).",1,"15:00",1,10,70,"pass",9,"ARI","MIN",0,0.566453754901886,0.433546245098114,-0.00033828616142273,0.0250971615314484,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",4,"(14:27) 1-K.Murray pass short right to 85-T.McBride pushed ob at ARI 48 for 9 yards (22-H.Smith).",1,"14:27",2,1,61,"pass",9,"ARI","MIN",0,0.541356593370438,0.458643406629562,-0.0250971615314484,0.0214744806289673,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",5,"(13:50) 6-J.Conner left tackle to MIN 46 for 6 yards (7-B.Murphy; 58-J.Greenard).",1,"13:50",1,10,52,"run",6,"ARI","MIN",0,0.51988211274147,0.48011788725853,-0.0214744806289673,-0.00803786516189575,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",6,"(13:14) 6-J.Conner right guard to MIN 40 for 6 yards (44-J.Metellus; 24-C.Bynum).",1,"13:14",2,4,46,"run",6,"ARI","MIN",0,0.527919977903366,0.472080022096634,0.00803786516189575,0.0401139557361603,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",7,"(12:48) (No Huddle, Shotgun) 1-K.Murray pass short middle to 84-E.Higgins to MIN 36 for 4 yards (51-B.Cashman).",1,"12:48",1,10,40,"pass",4,"ARI","MIN",0,0.487806022167206,0.512193977832794,-0.0401139557361603,0.00562608242034912,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",8,"(12:07) (Shotgun) 1-K.Murray pass short right to 85-T.McBride to MIN 31 for 5 yards (22-H.Smith).",1,"12:07",2,6,36,"pass",5,"ARI","MIN",0,0.482179939746857,0.517820060253143,-0.00562608242034912,-0.0159162878990173,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",9,"(11:31) 33-T.Benson left tackle to MIN 21 for 10 yards (24-C.Bynum).",1,"11:31",3,1,31,"run",10,"ARI","MIN",0,0.498096227645874,0.501903772354126,0.0159162878990173,0.0588247179985046,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",10,"(10:47) 6-J.Conner left tackle to MIN 20 for 1 yard (91-P.Jones).",1,"10:47",1,10,21,"run",1,"ARI","MIN",0,0.439271509647369,0.560728490352631,-0.0588247179985046,-0.0153820514678955,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",11,"(10:06) (Shotgun) 6-J.Conner up the middle to MIN 17 for 3 yards (58-J.Greenard; 51-B.Cashman).",1,"10:06",2,9,20,"run",3,"ARI","MIN",0,0.454653561115265,0.545346438884735,0.0153820514678955,-0.0128527879714966,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",12,"(9:43) (No Huddle, Shotgun) 1-K.Murray pass short middle to 6-J.Conner to MIN 13 for 4 yards (51-B.Cashman).",1,"09:43",3,6,17,"pass",4,"ARI","MIN",0,0.467506349086761,0.532493650913239,0.0128527879714966,-0.0227822065353394,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",13,"(9:05) 38-C.Ryland 32 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",1,"09:05",4,2,13,"field_goal",0,"ARI","MIN",0,0.490288555622101,0.509711444377899,0.0227822065353394,-0.0207989811897278,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",14,"38-C.Ryland kicks 65 yards from ARI 35 to end zone, Touchback to the MIN 30.",1,"09:02",NA,0,35,"kickoff",0,"MIN","ARI",-3,0.511087536811829,0.488912463188171,0.0207989811897278,0.00924152135848999,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",15,"(9:02) 33-A.Jones left guard to MIN 32 for 2 yards (55-D.Stills, 23-S.Murphy-Bunting). FUMBLES (23-S.Murphy-Bunting), recovered by MIN-75-B.O'Neill at MIN 36.",1,"09:02",1,10,70,"run",2,"MIN","ARI",-3,0.520329058170319,0.479670941829681,0.00924152135848999,0.012654721736908,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",16,"(8:38) (No Huddle, Shotgun) 14-S.Darnold pass short middle to 87-T.Hockenson to MIN 41 for 5 yards (3-B.Baker; 2-Ma.Wilson).",1,"08:38",2,4,64,"pass",5,"MIN","ARI",-3,0.532983779907227,0.467016220092773,0.012654721736908,0.00767391920089722,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",17,"(8:03) 14-S.Darnold pass short left to 86-J.Mundt pushed ob at ARI 41 for 18 yards (3-B.Baker).",1,"08:03",1,10,59,"pass",18,"MIN","ARI",-3,0.540657699108124,0.459342300891876,0.00767391920089722,0.0552228689193726,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",18,"(7:27) 14-S.Darnold scrambles up the middle to ARI 33 for 8 yards (2-Ma.Wilson).",1,"07:27",1,10,41,"run",8,"MIN","ARI",-3,0.595880568027496,0.404119431972504,0.0552228689193726,0.0271565318107605,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",19,"(6:47) 33-A.Jones right end to ARI 27 for 6 yards (34-J.Thompson).",1,"06:47",2,2,33,"run",6,"MIN","ARI",-3,0.623037099838257,0.376962900161743,0.0271565318107605,0.00494575500488281,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",20,"(6:09) (Shotgun) 14-S.Darnold pass incomplete deep right to 3-J.Addison.",1,"06:09",1,10,27,"pass",0,"MIN","ARI",-3,0.62798285484314,0.37201714515686,0.00494575500488281,-0.0132634043693542,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",21,"(6:04) (Shotgun) 33-A.Jones right tackle to ARI 19 for 8 yards (23-S.Murphy-Bunting).",1,"06:04",2,10,27,"run",8,"MIN","ARI",-3,0.614719450473785,0.385280549526215,-0.0132634043693542,0.0117241144180298,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",22,"(5:23) (Shotgun) 14-S.Darnold sacked at ARI 26 for -7 yards (91-L.Collier).",1,"05:23",3,2,19,"pass",-7,"MIN","ARI",-3,0.626443564891815,0.373556435108185,0.0117241144180298,-0.0591270327568054,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",23,"(4:44) 96-J.Romo 44 yard field goal is GOOD, Center-47-J.McQuaide, Holder-17-R.Wright.",1,"04:44",4,9,26,"field_goal",0,"MIN","ARI",-3,0.56731653213501,0.43268346786499,-0.0591270327568054,-0.00899219512939453,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",24,"96-J.Romo kicks 66 yards from MIN 35 to ARI -1. 4-G.Dortch to ARI 25 for 26 yards (26-Th.Jackson; 32-T.Chandler).",1,"04:42",NA,0,35,"kickoff",0,"ARI","MIN",0,0.558324337005615,0.441675662994385,-0.00899219512939453,0,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",25,"(4:35) (Shotgun) 1-K.Murray pass short left to 6-J.Conner pushed ob at ARI 27 for 2 yards (51-B.Cashman).",1,"04:35",1,10,75,"pass",2,"ARI","MIN",0,0.558324337005615,0.441675662994385,0,-0.0180006325244904,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",26,"(4:05) (Shotgun) 1-K.Murray pass short middle to 6-J.Conner to ARI 34 for 7 yards (44-J.Metellus; 51-B.Cashman) [97-H.Phillips].",1,"04:05",2,8,73,"pass",7,"ARI","MIN",0,0.576324969530106,0.423675030469894,0.0180006325244904,0.0110858976840973,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",27,"(3:25) (Shotgun) 6-J.Conner right tackle to ARI 36 for 2 yards (2-S.Gilmore; 43-A.Van Ginkel).",1,"03:25",3,1,66,"run",2,"ARI","MIN",0,0.565239071846008,0.434760928153992,-0.0110858976840973,0.0286834836006165,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",28,"(2:48) (Shotgun) 1-K.Murray left end to ARI 42 for 6 yards (22-H.Smith; 44-J.Metellus).",1,"02:48",1,10,64,"run",6,"ARI","MIN",0,0.536555588245392,0.463444411754608,-0.0286834836006165,-0.0122475922107697,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",29,"(2:16) 6-J.Conner right guard to ARI 44 for 2 yards (97-H.Phillips; 90-J.Bullard).",1,"02:16",2,4,58,"run",2,"ARI","MIN",0,0.548803180456161,0.451196819543839,0.0122475922107697,-0.0114034116268158,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",30,"(1:35) 1-K.Murray pass incomplete deep right to 18-M.Harrison [43-A.Van Ginkel].",1,"01:35",3,2,56,"pass",0,"ARI","MIN",0,0.560206592082977,0.439793407917023,0.0114034116268158,-0.0402001738548279,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",31,"(1:31) 12-B.Gillikin punts 42 yards to MIN 14, Center-46-A.Brewer, fair catch by 4-B.Powell.",1,"01:31",4,2,56,"punt",0,"ARI","MIN",0,0.600406765937805,0.399593234062195,0.0402001738548279,0.013184130191803,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",32,"(1:24) 14-S.Darnold pass short middle to 33-A.Jones to MIN 19 for 5 yards (53-B.Browning, 23-S.Murphy-Bunting). FUMBLES (23-S.Murphy-Bunting), RECOVERED by ARI-98-R.Lopez at MIN 19.",1,"01:24",1,10,86,"pass",5,"MIN","ARI",0,0.587222635746002,0.412777364253998,-0.013184130191803,-0.155760645866394,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",33,"(1:15) (Shotgun) PENALTY on ARI-87-T.Reiman, False Start, 5 yards, enforced at MIN 19 - No Play.",1,"01:15",1,10,19,"no_play",0,"ARI","MIN",0,0.431461989879608,0.568538010120392,-0.155760645866394,-0.0202349424362183,"MIN","ARI",13,"2024-12-01","REG",3,3
"2024_13_ARI_MIN",34,"(1:15) (Shotgun) 1-K.Murray scrambles right end ran ob at MIN 23 for 1 yard (51-B.Cashman).",1,"01:15",1,15,24,"run",1,"ARI","MIN",0,0.451696932315826,0.548303067684174,0.0202349424362183,-0.00861060619354248,"MIN","ARI",13,"2024-12-01","REG",3,3
