"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_13_PIT_CIN",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",2,"9-C.Boswell kicks 55 yards from PIT 35 to CIN 10. 81-J.Burton to CIN 37 for 27 yards (28-M.Killebrew).",1,"15:00",NA,0,35,"kickoff",0,"CIN","PIT",0,0.546261787414551,0.453738212585449,0,0.0263115763664246,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",3,"(14:55) (Shotgun) 9-J.Burrow pass incomplete deep right to 1-J.Chase.",1,"14:55",1,10,63,"pass",0,"CIN","PIT",0,0.572573363780975,0.427426636219025,0.0263115763664246,-0.0180367827415466,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",4,"(14:48) (Shotgun) 30-C.Brown right tackle to CIN 36 for -1 yards (90-T.Watt, 51-Ni.Herbig).",1,"14:48",2,10,63,"run",-1,"CIN","PIT",0,0.554536581039429,0.445463418960571,-0.0180367827415466,-0.0439908504486084,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",5,"(14:06) (Shotgun) PENALTY on CIN-75-O.Brown, False Start, 5 yards, enforced at CIN 36 - No Play.",1,"14:06",3,11,64,"no_play",0,"CIN","PIT",0,0.51054573059082,0.48945426940918,-0.0439908504486084,-0.0141007900238037,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",6,"(13:48) (Shotgun) 9-J.Burrow pass short middle to 1-J.Chase to CIN 44 for 13 yards (23-D.Kazee).",1,"13:48",3,16,69,"pass",13,"CIN","PIT",0,0.496444940567017,0.503555059432983,-0.0141007900238037,0.00691550970077515,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",7,"(13:04) 8-R.Rehkow punts 41 yards to PIT 15, Center-48-C.Adomitis, fair catch by 19-C.Austin.",1,"13:04",4,3,56,"punt",0,"CIN","PIT",0,0.503360450267792,0.496639549732208,0.00691550970077515,0.0198493897914886,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",8,"(12:57) (Shotgun) 3-R.Wilson pass incomplete deep middle to 19-C.Austin (59-A.Davis-Gaither). PIT-19-C.Austin was injured during the play. PENALTY on CIN-59-A.Davis-Gaither, Defensive Pass Interference, 23 yards, enforced at PIT 15 - No Play.",1,"12:57",1,10,85,"no_play",0,"PIT","CIN",0,0.52320984005928,0.47679015994072,0.0198493897914886,0.0456441938877106,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",9,"(12:53) 3-R.Wilson pass short left to 22-N.Harris to PIT 45 for 7 yards (57-G.Pratt; 92-B.Hill).",1,"12:53",1,10,62,"pass",7,"PIT","CIN",0,0.47756564617157,0.52243435382843,-0.0456441938877106,-0.000600814819335938,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",10,"(12:04) (Shotgun) 3-R.Wilson pass incomplete short left to 11-V.Jefferson.",1,"12:04",2,3,55,"pass",0,"PIT","CIN",0,0.478166460990906,0.521833539009094,0.000600814819335938,-0.0285860896110535,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",11,"(11:59) (Shotgun) 3-R.Wilson pass short right intended for 14-G.Pickens INTERCEPTED by 29-C.Taylor-Britt at CIN 49. 29-C.Taylor-Britt for 51 yards, TOUCHDOWN. ** Injury Update: PIT-19-C.Austin has returned to the game.",1,"11:59",3,3,55,"pass",0,"PIT","CIN",0,0.506752550601959,0.493247449398041,0.0285860896110535,-0.190763119715289,"CIN","PIT",13,"2024-12-01","REG",3,3
"2024_13_PIT_CIN",12,"2-E.McPherson extra point is GOOD, Center-48-C.Adomitis, Holder-8-R.Rehkow.",1,"11:49",NA,0,15,"extra_point",0,"CIN","PIT",6,0.697515670317248,0.302484329682752,0.190763119715289,0.00177979086057767,"CIN","PIT",13,"2024-12-01","REG",3,3
