"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_17_DEN_CIN",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.566792041063309,0.433207958936691,0,0,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",2,"3-C.York kicks 65 yards from CIN 35 to end zone, Touchback to the DEN 30.",1,"15:00",NA,0,35,"kickoff",0,"DEN","CIN",0,0.566792041063309,0.433207958936691,0,0.00033828616142273,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",3,"(15:00) 38-J.McLaughlin left guard to DEN 42 for 12 yards (29-C.Taylor-Britt).",1,"15:00",1,10,70,"run",12,"DEN","CIN",0,0.566453754901886,0.433546245098114,-0.00033828616142273,0.021353155374527,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",4,"(14:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 19-M.Mims ran ob at DEN 46 for 4 yards (22-G.Stone).",1,"14:36",1,10,58,"pass",4,"DEN","CIN",0,0.545100599527359,0.454899400472641,-0.021353155374527,-0.00543844699859619,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",5,"(13:59) 10-B.Nix pass short left to 23-A.Estime to CIN 41 for 13 yards (93-M.Jackson).",1,"13:59",2,6,54,"pass",13,"DEN","CIN",0,0.550539046525955,0.449460953474045,0.00543844699859619,0.0514198839664459,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",6,"(13:18) (Shotgun) 10-B.Nix pass short left to 38-J.McLaughlin pushed ob at CIN 38 for 3 yards (29-C.Taylor-Britt).",1,"13:18",1,10,41,"pass",3,"DEN","CIN",0,0.499119162559509,0.500880837440491,-0.0514198839664459,0.0164100527763367,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",7,"(12:47) 10-B.Nix scrambles right end ran ob at CIN 36 for 2 yards (57-G.Pratt).",1,"12:47",2,7,38,"run",2,"DEN","CIN",0,0.482709109783173,0.517290890216827,-0.0164100527763367,-0.0234446823596954,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",8,"(12:04) (Shotgun) 10-B.Nix pass short middle to 17-D.Vele to CIN 20 for 16 yards (28-J.Newton).",1,"12:04",3,5,36,"pass",16,"DEN","CIN",0,0.506153792142868,0.493846207857132,0.0234446823596954,0.0668822824954987,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",9,"(11:22) (Shotgun) 10-B.Nix scrambles left end pushed ob at CIN 15 for 5 yards (59-A.Davis-Gaither).",1,"11:22",1,10,20,"run",5,"DEN","CIN",0,0.439271509647369,0.560728490352631,-0.0668822824954987,-0.0131252408027649,"CIN","DEN",17,"2024-12-28","REG",3,3
"2024_17_DEN_CIN",10,"(10:39) (Shotgun) 23-A.Estime up the middle to CIN 12 for 3 yards (52-C.Johnson).",1,"10:39",2,5,15,"run",3,"DEN","CIN",0,0.452396750450134,0.547603249549866,0.0131252408027649,-0.00269418954849243,"CIN","DEN",17,"2024-12-28","REG",3,3
