"game_id","play_number","desc","qtr","time","down","ydstogo","yardline_100","play_type","yards_gained","posteam","defteam","score_differential","home_wp","away_wp","win_prob_change","wpa","home_team","away_team","week","game_date","season_type","home_timeouts_remaining","away_timeouts_remaining"
"2024_18_LAC_LV",1,"GAME",1,"15:00",NA,0,NA,NA,NA,NA,NA,NA,0.546261787414551,0.453738212585449,0,0,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",2,"11-C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the LV 30.",1,"15:00",NA,0,35,"kickoff",0,"LV","LAC",0,0.546261787414551,0.453738212585449,0,0.0062263011932373,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",3,"(15:00) 22-A.Mattison right guard to LV 32 for 2 yards (56-M.Fox; 0-D.Henley).",1,"15:00",1,10,70,"run",2,"LV","LAC",0,0.552488088607788,0.447511911392212,0.0062263011932373,-0.0120475888252258,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",4,"(14:20) 12-A.O'Connell pass short right to 87-M.Mayer to LV 32 for no gain (29-T.Still; 0-D.Henley).",1,"14:20",2,8,68,"pass",0,"LV","LAC",0,0.540440499782562,0.459559500217438,-0.0120475888252258,-0.0296534895896912,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",5,"(13:47) (Shotgun) 12-A.O'Connell pass short middle to 22-A.Mattison to LV 38 for 6 yards (29-T.Still).",1,"13:47",3,8,68,"pass",6,"LV","LAC",0,0.510787010192871,0.489212989807129,-0.0296534895896912,0.00129956007003784,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",6,"(13:04) 6-A.Cole punts 62 yards to end zone, Center-50-J.Bobenmoyer, Touchback.",1,"13:04",4,2,62,"punt",0,"LV","LAC",0,0.512086570262909,0.487913429737091,0.00129956007003784,0.00562316179275513,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",7,"(12:56) 27-J.Dobbins left guard to LAC 23 for 3 yards (49-C.Snowden).",1,"12:56",1,10,80,"run",3,"LAC","LV",0,0.517709732055664,0.482290267944336,0.00562316179275513,0.00119441747665405,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",8,"(12:20) (Shotgun) 10-J.Herbert pass short right to 1-Q.Johnston to LAC 29 for 6 yards (41-R.Spillane; 7-T.Moehrig).",1,"12:20",2,7,77,"pass",6,"LAC","LV",0,0.51651531457901,0.48348468542099,-0.00119441747665405,-0.0126623213291168,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",9,"(11:36) 28-H.Haskins up the middle to LAC 29 for no gain (96-J.Laulu; 7-T.Moehrig).",1,"11:36",3,1,71,"run",0,"LAC","LV",0,0.529177635908127,0.470822364091873,0.0126623213291168,-0.0300813317298889,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",10,"(10:56) 16-J.Scott punts 47 yards to LV 24, Center-47-J.Harris, fair catch by 11-T.Tucker.",1,"10:56",4,1,71,"punt",0,"LAC","LV",0,0.559258967638016,0.440741032361984,0.0300813317298889,0.012997180223465,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",11,"(10:50) 12-A.O'Connell pass incomplete deep left to 89-B.Bowers.",1,"10:50",1,10,76,"pass",0,"LV","LAC",0,0.546261787414551,0.453738212585449,-0.012997180223465,-0.0182319283485413,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",12,"(10:45) 33-C.Collier left tackle to LV 26 for 2 yards (3-D.James; 43-T.Dye).",1,"10:45",2,10,76,"run",2,"LV","LAC",0,0.52802985906601,0.47197014093399,-0.0182319283485413,-0.0297108888626099,"LV","LAC",18,"2025-01-05","REG",3,3
"2024_18_LAC_LV",13,"Timeout #1 by LAC at 10:05.",1,"10:05",NA,0,NA,"no_play",0,NA,NA,NA,0.4983189702034,0.5016810297966,-0.0297108888626099,0,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",14,"(10:05) (Shotgun) 12-A.O'Connell pass short left to 16-J.Meyers to LV 30 for 4 yards (20-C.Hart).",1,"10:05",3,8,74,"pass",4,"LV","LAC",0,0.4983189702034,0.5016810297966,0,-0.0255370736122131,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",15,"(9:27) 6-A.Cole punts 57 yards to LAC 13, Center-50-J.Bobenmoyer. 12-D.Davis MUFFS catch, and recovers at LAC 12. 12-D.Davis to LAC 12 for no gain (34-T.Harper).",1,"09:27",4,4,70,"punt",0,"LV","LAC",0,0.472781896591187,0.527218103408813,-0.0255370736122131,0.0704400837421417,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",16,"(9:19) (Shotgun) 10-J.Herbert pass deep right to 1-Q.Johnston pushed ob at LAC 49 for 37 yards (20-I.Pola-Mao).",1,"09:19",1,10,88,"pass",37,"LAC","LV",0,0.543221980333328,0.456778019666672,0.0704400837421417,0.0765659511089325,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",17,"(8:43) (Shotgun) 27-J.Dobbins up the middle to LV 49 for 2 yards (95-J.Jenkins).",1,"08:43",1,10,51,"run",2,"LAC","LV",0,0.466656029224396,0.533343970775604,-0.0765659511089325,-0.015636146068573,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",18,"(8:00) (Shotgun) 27-J.Dobbins right guard to LV 39 for 10 yards (18-J.Jones).",1,"08:00",2,8,49,"run",10,"LAC","LV",0,0.482292175292969,0.517707824707031,0.015636146068573,0.0589267611503601,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",19,"(7:22) 28-H.Haskins up the middle to LV 35 for 4 yards (96-J.Laulu; 41-R.Spillane).",1,"07:22",1,10,39,"run",4,"LAC","LV",0,0.423365414142609,0.576634585857391,-0.0589267611503601,0.00807207822799683,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",20,"(6:45) (Shotgun) 10-J.Herbert pass short right to 1-Q.Johnston to LV 33 for 2 yards (18-J.Jones).",1,"06:45",2,6,35,"pass",2,"LAC","LV",0,0.415293335914612,0.584706664085388,-0.00807207822799683,-0.0239500999450684,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",21,"(5:59) (Shotgun) 10-J.Herbert sacked at LV 43 for -10 yards (69-A.Butler).",1,"05:59",3,4,33,"pass",-10,"LAC","LV",0,0.43924343585968,0.56075656414032,0.0239500999450684,-0.0926888883113861,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",22,"(5:18) 16-J.Scott punts 40 yards to LV 3, impetus ends at LV 1, Center-47-J.Harris, downed by LAC-36-J.Taylor. PENALTY on LV-25-D.Richardson, Illegal Block Above the Waist, 10 yards, enforced at LV 43 - No Play.",1,"05:18",4,14,43,"no_play",0,"LAC","LV",0,0.531932324171066,0.468067675828934,0.0926888883113861,0.0484719574451447,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",23,"(5:08) 11-C.Dicker 51 yard field goal is No Good, Wide Left, Center-47-J.Harris, Holder-16-J.Scott.",1,"05:08",4,4,33,"field_goal",0,"LAC","LV",0,0.483460366725922,0.516539633274078,-0.0484719574451447,-0.0919082760810852,"LV","LAC",18,"2025-01-05","REG",3,2
"2024_18_LAC_LV",24,"(5:03) (Shotgun) 12-A.O'Connell pass short right to 16-J.Meyers ran ob at 50 for 9 yards.",1,"05:03",1,10,59,"pass",9,"LV","LAC",0,0.575368642807007,0.424631357192993,0.0919082760810852,0.024968147277832,"LV","LAC",18,"2025-01-05","REG",3,2
